id,lead_code,suggested_action,TARGET,total_due,dpd_bucket,state
10891,LDSMFG_110890,ACTION_FIELD,0.35,157472,30-60,Delhi
10892,LDSMFG_110891,ACTION_DIGITAL,0.95,315414,60-90,Maharashtra
10893,LDSMFG_110892,ACTION_HUMAN_CALL,0.53,208141,30-60,UP
10894,LDSMFG_110893,ACTION_BOT,0.37,124415,180+,UP
10895,LDSMFG_110894,ACTION_FIELD,0.37,448049,60-90,Tamil Nadu
10896,LDSMFG_110895,ACTION_DIGITAL,0.17,199716,30-60,UP
10897,LDSMFG_110896,ACTION_HUMAN_CALL,0.36,85206,180+,Maharashtra
10898,LDSMFG_110897,ACTION_BOT,0.18,336612,60-90,Maharashtra
10899,LDSMFG_110898,ACTION_HUMAN_CALL,0.46,195545,30-60,UP
10900,LDSMFG_110899,ACTION_HUMAN_CALL,0.85,444025,60-90,Maharashtra
10901,LDSMFG_110900,ACTION_FIELD,0.39,436544,60-90,Maharashtra
10902,LDSMFG_110901,ACTION_HUMAN_CALL,0.3,435000,90-180,Delhi
10903,LDSMFG_110902,ACTION_BOT,0.61,28723,60-90,Karnataka
10904,LDSMFG_110903,ACTION_FIELD,0.41,327790,30-60,UP
10905,LDSMFG_110904,ACTION_HUMAN_CALL,0.51,202327,60-90,Maharashtra
10906,LDSMFG_110905,ACTION_FIELD,0.32,5074,60-90,Maharashtra
10907,LDSMFG_110906,ACTION_BOT,0.07,260245,60-90,Delhi
10908,LDSMFG_110907,ACTION_BOT,0.31,293642,30-60,Delhi
10909,LDSMFG_110908,ACTION_HUMAN_CALL,0.51,201594,180+,Tamil Nadu
10910,LDSMFG_110909,ACTION_FIELD,0.37,101881,60-90,Karnataka
10911,LDSMFG_110910,ACTION_HUMAN_CALL,0.45,418757,60-90,Tamil Nadu
10912,LDSMFG_110911,ACTION_HUMAN_CALL,0.28,50929,60-90,UP
10913,LDSMFG_110912,ACTION_DIGITAL,0.19,128199,30-60,Tamil Nadu
10914,LDSMFG_110913,ACTION_HUMAN_CALL,0.55,236525,60-90,Maharashtra
10915,LDSMFG_110914,ACTION_DIGITAL,0.27,293172,90-180,Tamil Nadu
10916,LDSMFG_110915,ACTION_HUMAN_CALL,0.43,34545,60-90,Tamil Nadu
10917,LDSMFG_110916,ACTION_FIELD,0.72,84569,60-90,Karnataka
10918,LDSMFG_110917,ACTION_DIGITAL,0.58,36673,60-90,UP
10919,LDSMFG_110918,ACTION_FIELD,0.39,429190,90-180,Maharashtra
10920,LDSMFG_110919,ACTION_HUMAN_CALL,0.33,457115,90-180,Delhi
10921,LDSMFG_110920,ACTION_FIELD,0.78,421313,90-180,Delhi
10922,LDSMFG_110921,ACTION_FIELD,0.68,369655,30-60,UP
10923,LDSMFG_110922,ACTION_HUMAN_CALL,0.35,360288,60-90,Tamil Nadu
10924,LDSMFG_110923,ACTION_BOT,0.17,331968,90-180,Delhi
10925,LDSMFG_110924,ACTION_BOT,0.74,28525,60-90,Maharashtra
10926,LDSMFG_110925,ACTION_HUMAN_CALL,0.65,62804,90-180,Maharashtra
10927,LDSMFG_110926,ACTION_BOT,0.03,151115,90-180,Karnataka
10928,LDSMFG_110927,ACTION_FIELD,0.48,46846,30-60,Tamil Nadu
10929,LDSMFG_110928,ACTION_FIELD,0.48,82261,30-60,Tamil Nadu
10930,LDSMFG_110929,ACTION_HUMAN_CALL,0.62,238312,60-90,UP
10931,LDSMFG_110930,ACTION_DIGITAL,0.54,448443,30-60,Delhi
10932,LDSMFG_110931,ACTION_FIELD,0.43,189100,180+,Delhi
10933,LDSMFG_110932,ACTION_DIGITAL,0.77,435599,30-60,Karnataka
10934,LDSMFG_110933,ACTION_DIGITAL,0.38,296627,30-60,Delhi
10935,LDSMFG_110934,ACTION_BOT,0.4,12265,180+,Maharashtra
10936,LDSMFG_110935,ACTION_DIGITAL,0.66,289907,30-60,UP
10937,LDSMFG_110936,ACTION_FIELD,0.43,211724,60-90,Delhi
10938,LDSMFG_110937,ACTION_FIELD,0.34,20733,30-60,Maharashtra
10939,LDSMFG_110938,ACTION_DIGITAL,0.6,379340,90-180,Tamil Nadu
10940,LDSMFG_110939,ACTION_FIELD,0.71,96038,30-60,Delhi
10941,LDSMFG_110940,ACTION_BOT,0.75,304564,30-60,Karnataka
10942,LDSMFG_110941,ACTION_DIGITAL,0.91,145319,180+,Maharashtra
10943,LDSMFG_110942,ACTION_HUMAN_CALL,0.19,422056,30-60,Tamil Nadu
10944,LDSMFG_110943,ACTION_DIGITAL,0.46,463365,90-180,Tamil Nadu
10945,LDSMFG_110944,ACTION_BOT,0.27,26058,30-60,Karnataka
10946,LDSMFG_110945,ACTION_FIELD,0.37,251301,30-60,Maharashtra
10947,LDSMFG_110946,ACTION_HUMAN_CALL,0.57,302073,90-180,Karnataka
10948,LDSMFG_110947,ACTION_HUMAN_CALL,0.65,482387,30-60,UP
10949,LDSMFG_110948,ACTION_FIELD,0.39,489380,30-60,Karnataka
10950,LDSMFG_110949,ACTION_BOT,0.29,167434,90-180,Karnataka
10951,LDSMFG_110950,ACTION_DIGITAL,0.83,91489,60-90,Karnataka
10952,LDSMFG_110951,ACTION_BOT,0.06,89664,60-90,Tamil Nadu
10953,LDSMFG_110952,ACTION_FIELD,0.42,183428,30-60,Maharashtra
10954,LDSMFG_110953,ACTION_BOT,0.11,82597,90-180,Maharashtra
10955,LDSMFG_110954,ACTION_HUMAN_CALL,0.52,273185,30-60,Tamil Nadu
10956,LDSMFG_110955,ACTION_DIGITAL,0.6,83209,90-180,Karnataka
10957,LDSMFG_110956,ACTION_FIELD,0.45,263109,60-90,Delhi
10958,LDSMFG_110957,ACTION_DIGITAL,0.18,460170,90-180,UP
10959,LDSMFG_110958,ACTION_BOT,0.48,197941,30-60,Maharashtra
10960,LDSMFG_110959,ACTION_BOT,0.21,157131,30-60,Karnataka
10961,LDSMFG_110960,ACTION_DIGITAL,0.56,104864,90-180,UP
10962,LDSMFG_110961,ACTION_FIELD,0.63,442938,180+,Delhi
10963,LDSMFG_110962,ACTION_HUMAN_CALL,0.4,153620,30-60,Delhi
10964,LDSMFG_110963,ACTION_FIELD,0.43,413294,90-180,Tamil Nadu
10965,LDSMFG_110964,ACTION_HUMAN_CALL,0.46,403635,30-60,Delhi
10966,LDSMFG_110965,ACTION_DIGITAL,0.72,171562,60-90,Maharashtra
10967,LDSMFG_110966,ACTION_HUMAN_CALL,0.63,212158,180+,Karnataka
10968,LDSMFG_110967,ACTION_BOT,0.36,120158,180+,UP
10969,LDSMFG_110968,ACTION_FIELD,0.33,456976,30-60,Delhi
10970,LDSMFG_110969,ACTION_DIGITAL,0.27,428553,30-60,Delhi
10971,LDSMFG_110970,ACTION_BOT,0.5,6468,30-60,Tamil Nadu
10972,LDSMFG_110971,ACTION_DIGITAL,0.8,291453,60-90,Delhi
10973,LDSMFG_110972,ACTION_FIELD,0.38,464560,30-60,Delhi
10974,LDSMFG_110973,ACTION_HUMAN_CALL,0.7,488499,30-60,Tamil Nadu
10975,LDSMFG_110974,ACTION_BOT,0.4,77255,30-60,Delhi
10976,LDSMFG_110975,ACTION_HUMAN_CALL,0.7,263078,30-60,Karnataka
10977,LDSMFG_110976,ACTION_HUMAN_CALL,0.38,349043,180+,Karnataka
10978,LDSMFG_110977,ACTION_HUMAN_CALL,0.45,33718,60-90,UP
10979,LDSMFG_110978,ACTION_FIELD,0.43,230409,30-60,Delhi
10980,LDSMFG_110979,ACTION_BOT,0.37,244967,60-90,Karnataka
10981,LDSMFG_110980,ACTION_HUMAN_CALL,0.52,173913,180+,Tamil Nadu
10982,LDSMFG_110981,ACTION_HUMAN_CALL,0.65,471764,60-90,Karnataka
10983,LDSMFG_110982,ACTION_FIELD,0.68,219637,60-90,Maharashtra
10984,LDSMFG_110983,ACTION_HUMAN_CALL,0.42,444876,180+,Karnataka
10985,LDSMFG_110984,ACTION_BOT,0.48,373697,60-90,Tamil Nadu
10986,LDSMFG_110985,ACTION_DIGITAL,0.66,317425,60-90,Tamil Nadu
10987,LDSMFG_110986,ACTION_BOT,0.44,380595,60-90,Tamil Nadu
10988,LDSMFG_110987,ACTION_FIELD,0.51,252113,180+,Karnataka
10989,LDSMFG_110988,ACTION_HUMAN_CALL,0.39,267911,60-90,Tamil Nadu
10990,LDSMFG_110989,ACTION_BOT,0.53,402111,90-180,Maharashtra
10991,LDSMFG_110990,ACTION_HUMAN_CALL,0.57,63026,60-90,Delhi
10992,LDSMFG_110991,ACTION_BOT,0.41,385286,60-90,Tamil Nadu
10993,LDSMFG_110992,ACTION_DIGITAL,0.23,47968,30-60,UP
10994,LDSMFG_110993,ACTION_FIELD,0.39,176169,180+,Tamil Nadu
10995,LDSMFG_110994,ACTION_DIGITAL,0.73,413548,60-90,UP
10996,LDSMFG_110995,ACTION_FIELD,0.45,150693,30-60,UP
10997,LDSMFG_110996,ACTION_DIGITAL,0.57,81870,30-60,Delhi
10998,LDSMFG_110997,ACTION_BOT,0.53,23174,60-90,Delhi
10999,LDSMFG_110998,ACTION_FIELD,0.43,391501,30-60,Karnataka
11000,LDSMFG_110999,ACTION_HUMAN_CALL,0.27,366333,90-180,Maharashtra
11001,LDSMFG_111000,ACTION_BOT,0.6,45502,30-60,UP
11002,LDSMFG_111001,ACTION_HUMAN_CALL,0.31,303818,60-90,UP
11003,LDSMFG_111002,ACTION_FIELD,0.43,42260,30-60,UP
11004,LDSMFG_111003,ACTION_HUMAN_CALL,0.88,440714,30-60,Karnataka
11005,LDSMFG_111004,ACTION_HUMAN_CALL,0.86,203681,60-90,Karnataka
11006,LDSMFG_111005,ACTION_DIGITAL,0.86,185536,60-90,Delhi
11007,LDSMFG_111006,ACTION_FIELD,0.48,76805,30-60,Tamil Nadu
11008,LDSMFG_111007,ACTION_HUMAN_CALL,0.32,200991,30-60,Maharashtra
11009,LDSMFG_111008,ACTION_FIELD,0.36,264636,30-60,UP
11010,LDSMFG_111009,ACTION_FIELD,0.7,190541,90-180,Karnataka
11011,LDSMFG_111010,ACTION_DIGITAL,0.6,22194,60-90,Delhi
11012,LDSMFG_111011,ACTION_HUMAN_CALL,0.34,162883,60-90,Karnataka
11013,LDSMFG_111012,ACTION_FIELD,0.7,339521,180+,Delhi
11014,LDSMFG_111013,ACTION_BOT,0.3,135864,90-180,Delhi
11015,LDSMFG_111014,ACTION_BOT,0.3,48723,180+,Delhi
11016,LDSMFG_111015,ACTION_HUMAN_CALL,0.29,236408,60-90,Tamil Nadu
11017,LDSMFG_111016,ACTION_DIGITAL,0.55,473451,30-60,Tamil Nadu
11018,LDSMFG_111017,ACTION_BOT,0.29,247113,60-90,Tamil Nadu
11019,LDSMFG_111018,ACTION_HUMAN_CALL,0.25,81298,30-60,Karnataka
11020,LDSMFG_111019,ACTION_HUMAN_CALL,0.26,64238,30-60,Delhi
11021,LDSMFG_111020,ACTION_FIELD,0.37,264425,60-90,Delhi
11022,LDSMFG_111021,ACTION_DIGITAL,0.74,110433,30-60,Maharashtra
11023,LDSMFG_111022,ACTION_DIGITAL,0.73,112092,30-60,Tamil Nadu
11024,LDSMFG_111023,ACTION_FIELD,0.31,269291,30-60,Maharashtra
11025,LDSMFG_111024,ACTION_DIGITAL,0.45,234991,90-180,Tamil Nadu
11026,LDSMFG_111025,ACTION_DIGITAL,0.36,497467,30-60,Delhi
11027,LDSMFG_111026,ACTION_FIELD,0.31,305589,30-60,UP
11028,LDSMFG_111027,ACTION_FIELD,0.47,189875,90-180,Karnataka
11029,LDSMFG_111028,ACTION_DIGITAL,0.42,197180,30-60,UP
11030,LDSMFG_111029,ACTION_DIGITAL,0.27,111170,180+,Tamil Nadu
11031,LDSMFG_111030,ACTION_BOT,0.39,400229,30-60,Tamil Nadu
11032,LDSMFG_111031,ACTION_HUMAN_CALL,0.76,352761,90-180,Tamil Nadu
11033,LDSMFG_111032,ACTION_HUMAN_CALL,0.51,218482,30-60,Maharashtra
11034,LDSMFG_111033,ACTION_DIGITAL,0.66,320646,30-60,Delhi
11035,LDSMFG_111034,ACTION_BOT,0.19,122116,90-180,Tamil Nadu
11036,LDSMFG_111035,ACTION_BOT,0.5,304899,180+,Maharashtra
11037,LDSMFG_111036,ACTION_HUMAN_CALL,0.64,144805,90-180,Karnataka
11038,LDSMFG_111037,ACTION_HUMAN_CALL,0.52,276623,90-180,Maharashtra
11039,LDSMFG_111038,ACTION_FIELD,0.79,80361,30-60,Maharashtra
11040,LDSMFG_111039,ACTION_BOT,0.44,157376,90-180,UP
11041,LDSMFG_111040,ACTION_BOT,0.43,433910,60-90,Tamil Nadu
11042,LDSMFG_111041,ACTION_HUMAN_CALL,0.16,129232,60-90,Maharashtra
11043,LDSMFG_111042,ACTION_HUMAN_CALL,0.37,372730,60-90,Maharashtra
11044,LDSMFG_111043,ACTION_FIELD,0.36,86171,30-60,Tamil Nadu
11045,LDSMFG_111044,ACTION_BOT,0.09,381295,60-90,Tamil Nadu
11046,LDSMFG_111045,ACTION_DIGITAL,0.65,91296,30-60,Tamil Nadu
11047,LDSMFG_111046,ACTION_FIELD,0.67,145562,60-90,Tamil Nadu
11048,LDSMFG_111047,ACTION_BOT,0.43,157324,30-60,Tamil Nadu
11049,LDSMFG_111048,ACTION_HUMAN_CALL,0.35,142934,60-90,Maharashtra
11050,LDSMFG_111049,ACTION_BOT,0.56,246535,30-60,Delhi
11051,LDSMFG_111050,ACTION_DIGITAL,0.37,337103,30-60,Maharashtra
11052,LDSMFG_111051,ACTION_BOT,0.53,408666,30-60,Maharashtra
11053,LDSMFG_111052,ACTION_BOT,0.46,323166,30-60,Delhi
11054,LDSMFG_111053,ACTION_BOT,0.0,263970,30-60,Maharashtra
11055,LDSMFG_111054,ACTION_HUMAN_CALL,0.36,329135,30-60,Delhi
11056,LDSMFG_111055,ACTION_DIGITAL,0.3,176999,30-60,Maharashtra
11057,LDSMFG_111056,ACTION_DIGITAL,0.01,236449,30-60,Delhi
11058,LDSMFG_111057,ACTION_FIELD,0.81,486306,180+,Tamil Nadu
11059,LDSMFG_111058,ACTION_DIGITAL,0.52,316997,30-60,Karnataka
11060,LDSMFG_111059,ACTION_HUMAN_CALL,0.49,36826,90-180,Delhi
11061,LDSMFG_111060,ACTION_DIGITAL,0.7,310023,60-90,UP
11062,LDSMFG_111061,ACTION_HUMAN_CALL,0.78,193337,60-90,Tamil Nadu
11063,LDSMFG_111062,ACTION_DIGITAL,0.26,77361,30-60,Karnataka
11064,LDSMFG_111063,ACTION_FIELD,0.42,245028,30-60,Karnataka
11065,LDSMFG_111064,ACTION_BOT,0.52,345134,90-180,UP
11066,LDSMFG_111065,ACTION_HUMAN_CALL,0.54,356931,60-90,Tamil Nadu
11067,LDSMFG_111066,ACTION_BOT,0.48,222256,60-90,UP
11068,LDSMFG_111067,ACTION_FIELD,0.37,45736,60-90,UP
11069,LDSMFG_111068,ACTION_DIGITAL,0.68,291674,60-90,Karnataka
11070,LDSMFG_111069,ACTION_HUMAN_CALL,0.63,214124,90-180,Tamil Nadu
11071,LDSMFG_111070,ACTION_HUMAN_CALL,0.21,183130,90-180,UP
11072,LDSMFG_111071,ACTION_BOT,0.54,111080,30-60,UP
11073,LDSMFG_111072,ACTION_BOT,0.34,472310,90-180,Maharashtra
11074,LDSMFG_111073,ACTION_BOT,0.43,341399,60-90,Delhi
11075,LDSMFG_111074,ACTION_HUMAN_CALL,0.91,140958,60-90,Maharashtra
11076,LDSMFG_111075,ACTION_HUMAN_CALL,0.39,393742,90-180,UP
11077,LDSMFG_111076,ACTION_DIGITAL,0.59,229793,60-90,Tamil Nadu
11078,LDSMFG_111077,ACTION_BOT,0.43,123623,90-180,Karnataka
11079,LDSMFG_111078,ACTION_BOT,0.54,304531,60-90,Delhi
11080,LDSMFG_111079,ACTION_DIGITAL,0.67,157647,60-90,Maharashtra
11081,LDSMFG_111080,ACTION_DIGITAL,0.78,117260,90-180,Karnataka
11082,LDSMFG_111081,ACTION_BOT,0.12,437859,30-60,Delhi
11083,LDSMFG_111082,ACTION_BOT,0.26,408316,60-90,Delhi
11084,LDSMFG_111083,ACTION_FIELD,0.42,458572,30-60,Tamil Nadu
11085,LDSMFG_111084,ACTION_FIELD,0.68,406072,30-60,Delhi
11086,LDSMFG_111085,ACTION_FIELD,0.49,436385,60-90,Delhi
11087,LDSMFG_111086,ACTION_BOT,0.25,427020,30-60,Karnataka
11088,LDSMFG_111087,ACTION_DIGITAL,0.53,171862,30-60,Delhi
11089,LDSMFG_111088,ACTION_HUMAN_CALL,0.67,298132,180+,Tamil Nadu
11090,LDSMFG_111089,ACTION_BOT,0.46,343592,30-60,Delhi
11091,LDSMFG_111090,ACTION_BOT,0.47,436722,60-90,Delhi
11092,LDSMFG_111091,ACTION_HUMAN_CALL,0.26,380574,60-90,Karnataka
11093,LDSMFG_111092,ACTION_DIGITAL,0.32,223976,30-60,Karnataka
11094,LDSMFG_111093,ACTION_DIGITAL,0.32,465522,60-90,UP
11095,LDSMFG_111094,ACTION_FIELD,0.39,410521,60-90,Tamil Nadu
11096,LDSMFG_111095,ACTION_FIELD,0.72,146041,30-60,UP
11097,LDSMFG_111096,ACTION_BOT,0.5,279548,30-60,Delhi
11098,LDSMFG_111097,ACTION_FIELD,0.48,407205,30-60,Karnataka
11099,LDSMFG_111098,ACTION_BOT,0.17,463521,90-180,Karnataka
11100,LDSMFG_111099,ACTION_BOT,0.31,434199,30-60,UP
11101,LDSMFG_111100,ACTION_FIELD,0.38,246356,30-60,UP
11102,LDSMFG_111101,ACTION_BOT,0.27,175534,30-60,Tamil Nadu
11103,LDSMFG_111102,ACTION_DIGITAL,0.49,286504,90-180,Delhi
11104,LDSMFG_111103,ACTION_HUMAN_CALL,0.77,352801,60-90,UP
11105,LDSMFG_111104,ACTION_HUMAN_CALL,0.79,424503,90-180,UP
11106,LDSMFG_111105,ACTION_BOT,0.43,201544,180+,Maharashtra
11107,LDSMFG_111106,ACTION_FIELD,0.64,251512,180+,Delhi
11108,LDSMFG_111107,ACTION_BOT,0.43,245037,60-90,Karnataka
11109,LDSMFG_111108,ACTION_BOT,0.6,459529,60-90,UP
11110,LDSMFG_111109,ACTION_HUMAN_CALL,0.17,39160,90-180,Delhi
11111,LDSMFG_111110,ACTION_FIELD,0.37,273933,30-60,UP
11112,LDSMFG_111111,ACTION_DIGITAL,0.45,163253,30-60,Tamil Nadu
11113,LDSMFG_111112,ACTION_FIELD,0.37,150457,30-60,Karnataka
11114,LDSMFG_111113,ACTION_DIGITAL,0.52,349741,90-180,Tamil Nadu
11115,LDSMFG_111114,ACTION_BOT,0.32,70641,30-60,Delhi
11116,LDSMFG_111115,ACTION_BOT,0.25,311391,90-180,Maharashtra
11117,LDSMFG_111116,ACTION_BOT,0.35,91673,90-180,Maharashtra
11118,LDSMFG_111117,ACTION_DIGITAL,0.35,236322,30-60,UP
11119,LDSMFG_111118,ACTION_HUMAN_CALL,0.07,272688,30-60,UP
11120,LDSMFG_111119,ACTION_FIELD,0.73,251855,30-60,Tamil Nadu
11121,LDSMFG_111120,ACTION_HUMAN_CALL,0.54,411491,30-60,Maharashtra
11122,LDSMFG_111121,ACTION_FIELD,0.41,241361,60-90,UP
11123,LDSMFG_111122,ACTION_FIELD,0.35,68248,60-90,Karnataka
11124,LDSMFG_111123,ACTION_DIGITAL,0.82,301694,90-180,Delhi
11125,LDSMFG_111124,ACTION_HUMAN_CALL,0.24,320837,30-60,Karnataka
11126,LDSMFG_111125,ACTION_DIGITAL,0.23,396068,60-90,Karnataka
11127,LDSMFG_111126,ACTION_BOT,0.19,417857,60-90,Karnataka
11128,LDSMFG_111127,ACTION_DIGITAL,0.54,207821,90-180,UP
11129,LDSMFG_111128,ACTION_HUMAN_CALL,0.27,260949,30-60,Karnataka
11130,LDSMFG_111129,ACTION_HUMAN_CALL,0.34,347165,60-90,Karnataka
11131,LDSMFG_111130,ACTION_HUMAN_CALL,0.78,282749,30-60,Maharashtra
11132,LDSMFG_111131,ACTION_BOT,0.17,55713,30-60,Delhi
11133,LDSMFG_111132,ACTION_HUMAN_CALL,0.34,418606,30-60,Karnataka
11134,LDSMFG_111133,ACTION_BOT,0.17,342547,60-90,Tamil Nadu
11135,LDSMFG_111134,ACTION_BOT,0.39,325610,30-60,Tamil Nadu
11136,LDSMFG_111135,ACTION_FIELD,0.62,8981,90-180,Delhi
11137,LDSMFG_111136,ACTION_DIGITAL,0.33,407709,180+,UP
11138,LDSMFG_111137,ACTION_BOT,0.68,469434,60-90,Tamil Nadu
11139,LDSMFG_111138,ACTION_DIGITAL,0.5,469534,30-60,Tamil Nadu
11140,LDSMFG_111139,ACTION_BOT,0.31,382775,90-180,Delhi
11141,LDSMFG_111140,ACTION_HUMAN_CALL,0.49,386382,30-60,Delhi
11142,LDSMFG_111141,ACTION_BOT,0.31,100335,90-180,Tamil Nadu
11143,LDSMFG_111142,ACTION_FIELD,0.44,112441,60-90,UP
11144,LDSMFG_111143,ACTION_FIELD,0.43,21984,30-60,Maharashtra
11145,LDSMFG_111144,ACTION_BOT,0.21,130580,30-60,Delhi
11146,LDSMFG_111145,ACTION_FIELD,0.37,378460,60-90,Tamil Nadu
11147,LDSMFG_111146,ACTION_FIELD,0.45,420976,90-180,UP
11148,LDSMFG_111147,ACTION_HUMAN_CALL,0.31,489745,30-60,UP
11149,LDSMFG_111148,ACTION_FIELD,0.29,137596,30-60,Maharashtra
11150,LDSMFG_111149,ACTION_DIGITAL,0.71,123454,30-60,Karnataka
11151,LDSMFG_111150,ACTION_HUMAN_CALL,0.4,54402,60-90,Karnataka
11152,LDSMFG_111151,ACTION_FIELD,0.38,96656,60-90,Delhi
11153,LDSMFG_111152,ACTION_FIELD,0.35,70614,180+,Maharashtra
11154,LDSMFG_111153,ACTION_HUMAN_CALL,0.37,171963,90-180,Tamil Nadu
11155,LDSMFG_111154,ACTION_BOT,0.39,358153,90-180,Karnataka
11156,LDSMFG_111155,ACTION_FIELD,0.25,438048,30-60,Karnataka
11157,LDSMFG_111156,ACTION_DIGITAL,0.17,312980,30-60,Delhi
11158,LDSMFG_111157,ACTION_FIELD,0.75,472169,60-90,Tamil Nadu
11159,LDSMFG_111158,ACTION_DIGITAL,0.26,411578,30-60,Maharashtra
11160,LDSMFG_111159,ACTION_DIGITAL,0.37,464961,90-180,Tamil Nadu
11161,LDSMFG_111160,ACTION_BOT,0.19,436137,90-180,Tamil Nadu
11162,LDSMFG_111161,ACTION_BOT,0.48,468650,30-60,Tamil Nadu
11163,LDSMFG_111162,ACTION_DIGITAL,0.26,263789,90-180,Maharashtra
11164,LDSMFG_111163,ACTION_BOT,0.43,416778,30-60,Karnataka
11165,LDSMFG_111164,ACTION_HUMAN_CALL,0.48,462726,30-60,UP
11166,LDSMFG_111165,ACTION_DIGITAL,0.38,136049,30-60,Karnataka
11167,LDSMFG_111166,ACTION_DIGITAL,0.47,343551,60-90,Karnataka
11168,LDSMFG_111167,ACTION_DIGITAL,0.47,274754,90-180,Maharashtra
11169,LDSMFG_111168,ACTION_HUMAN_CALL,0.13,114381,30-60,Karnataka
11170,LDSMFG_111169,ACTION_DIGITAL,0.75,491134,90-180,Karnataka
11171,LDSMFG_111170,ACTION_HUMAN_CALL,0.56,20791,30-60,Tamil Nadu
11172,LDSMFG_111171,ACTION_HUMAN_CALL,0.43,63047,180+,UP
11173,LDSMFG_111172,ACTION_FIELD,0.65,499064,90-180,Maharashtra
11174,LDSMFG_111173,ACTION_HUMAN_CALL,0.58,239898,90-180,Delhi
11175,LDSMFG_111174,ACTION_DIGITAL,0.23,466122,60-90,Maharashtra
11176,LDSMFG_111175,ACTION_HUMAN_CALL,0.59,155737,30-60,Tamil Nadu
11177,LDSMFG_111176,ACTION_DIGITAL,0.69,75246,30-60,Karnataka
11178,LDSMFG_111177,ACTION_DIGITAL,0.36,201936,60-90,UP
11179,LDSMFG_111178,ACTION_BOT,0.15,444667,60-90,Delhi
11180,LDSMFG_111179,ACTION_HUMAN_CALL,0.22,239955,60-90,Delhi
11181,LDSMFG_111180,ACTION_BOT,0.34,353292,30-60,Karnataka
11182,LDSMFG_111181,ACTION_HUMAN_CALL,0.77,50890,60-90,Karnataka
11183,LDSMFG_111182,ACTION_DIGITAL,0.56,405010,60-90,Tamil Nadu
11184,LDSMFG_111183,ACTION_FIELD,0.39,37888,30-60,UP
11185,LDSMFG_111184,ACTION_BOT,0.09,142821,90-180,Delhi
11186,LDSMFG_111185,ACTION_HUMAN_CALL,0.55,51531,60-90,Delhi
11187,LDSMFG_111186,ACTION_BOT,0.28,382796,30-60,Maharashtra
11188,LDSMFG_111187,ACTION_DIGITAL,0.82,287752,30-60,Delhi
11189,LDSMFG_111188,ACTION_BOT,0.02,348130,30-60,Tamil Nadu
11190,LDSMFG_111189,ACTION_DIGITAL,0.27,467427,30-60,Delhi
11191,LDSMFG_111190,ACTION_FIELD,0.43,351140,60-90,Karnataka
11192,LDSMFG_111191,ACTION_HUMAN_CALL,0.64,61017,180+,Delhi
11193,LDSMFG_111192,ACTION_BOT,0.35,62676,90-180,Delhi
11194,LDSMFG_111193,ACTION_DIGITAL,0.68,16560,30-60,Tamil Nadu
11195,LDSMFG_111194,ACTION_HUMAN_CALL,0.65,452617,90-180,Tamil Nadu
11196,LDSMFG_111195,ACTION_DIGITAL,0.3,55468,180+,Delhi
11197,LDSMFG_111196,ACTION_BOT,0.36,168535,30-60,UP
11198,LDSMFG_111197,ACTION_HUMAN_CALL,0.22,429879,180+,Delhi
11199,LDSMFG_111198,ACTION_FIELD,0.43,466922,180+,Delhi
11200,LDSMFG_111199,ACTION_FIELD,0.68,456989,90-180,Maharashtra
11201,LDSMFG_111200,ACTION_DIGITAL,0.15,300267,30-60,Delhi
11202,LDSMFG_111201,ACTION_FIELD,0.36,99346,60-90,Maharashtra
11203,LDSMFG_111202,ACTION_BOT,0.58,145790,30-60,Karnataka
11204,LDSMFG_111203,ACTION_HUMAN_CALL,0.54,198709,180+,UP
11205,LDSMFG_111204,ACTION_HUMAN_CALL,0.47,267172,30-60,Tamil Nadu
11206,LDSMFG_111205,ACTION_BOT,0.27,460586,90-180,Maharashtra
11207,LDSMFG_111206,ACTION_DIGITAL,0.27,52599,30-60,Tamil Nadu
11208,LDSMFG_111207,ACTION_FIELD,0.36,153469,30-60,Tamil Nadu
11209,LDSMFG_111208,ACTION_FIELD,0.48,245270,180+,Maharashtra
11210,LDSMFG_111209,ACTION_FIELD,0.39,50406,90-180,Delhi
11211,LDSMFG_111210,ACTION_BOT,0.23,314801,30-60,Tamil Nadu
11212,LDSMFG_111211,ACTION_HUMAN_CALL,0.39,72560,180+,Delhi
11213,LDSMFG_111212,ACTION_FIELD,0.37,109143,90-180,Tamil Nadu
11214,LDSMFG_111213,ACTION_FIELD,0.47,149575,180+,Maharashtra
11215,LDSMFG_111214,ACTION_HUMAN_CALL,0.83,59943,60-90,UP
11216,LDSMFG_111215,ACTION_HUMAN_CALL,0.4,80839,180+,UP
11217,LDSMFG_111216,ACTION_DIGITAL,0.27,87674,90-180,Delhi
11218,LDSMFG_111217,ACTION_FIELD,0.63,30345,180+,Tamil Nadu
11219,LDSMFG_111218,ACTION_FIELD,0.45,254495,30-60,Tamil Nadu
11220,LDSMFG_111219,ACTION_DIGITAL,0.74,55390,60-90,Maharashtra
11221,LDSMFG_111220,ACTION_DIGITAL,0.52,231113,90-180,Tamil Nadu
11222,LDSMFG_111221,ACTION_BOT,0.38,326701,60-90,Delhi
11223,LDSMFG_111222,ACTION_FIELD,0.4,463270,90-180,Tamil Nadu
11224,LDSMFG_111223,ACTION_DIGITAL,0.5,6906,180+,Karnataka
11225,LDSMFG_111224,ACTION_FIELD,0.46,438383,90-180,Maharashtra
11226,LDSMFG_111225,ACTION_DIGITAL,0.36,12961,30-60,UP
